Comparison of Projections with Actual Enrollments:
Snapshot Date: 2024-04-30
Course: CS251 | Actual Enrollment: 207 | Capacity: 718
Course: CS252 | Actual Enrollment: 74 | Capacity: 648
Course: CS491 | Actual Enrollment: 0 | Capacity: 5
Course: CS492 | Actual Enrollment: 0 | Capacity: 5
Course: CS411W | Actual Enrollment: 118 | Capacity: 504
Course: CS367 | Actual Enrollment: 0 | Capacity: 40
Course: CS368 | Actual Enrollment: 0 | Capacity: 50
Course: CS522 | Actual Enrollment: 4 | Capacity: 83
Course: CS761 | Actual Enrollment: 21 | Capacity: 48
Course: CS129 | Actual Enrollment: 0 | Capacity: 0
Course: CS263 | Actual Enrollment: 0 | Capacity: 130
Course: CS260 | Actual Enrollment: 33 | Capacity: 150
Course: CS381 | Actual Enrollment: 67 | Capacity: 230
Course: CS261 | Actual Enrollment: 20 | Capacity: 130
Course: CS776 | Actual Enrollment: 3 | Capacity: 78
Course: CS898 | Actual Enrollment: 5 | Capacity: 190
Course: CS532 | Actual Enrollment: 7 | Capacity: 78
Course: CS895 | Actual Enrollment: 10 | Capacity: 95
Course: CS533 | Actual Enrollment: 3 | Capacity: 78
Course: CS896 | Actual Enrollment: 0 | Capacity: 5
Course: CS497 | Actual Enrollment: 0 | Capacity: 5
Course: CS410 | Actual Enrollment: 136 | Capacity: 406
Course: CS495 | Actual Enrollment: 1 | Capacity: 20
Course: CS891 | Actual Enrollment: 0 | Capacity: 5
Course: CS417 | Actual Enrollment: 58 | Capacity: 90
Course: CS418 | Actual Enrollment: 11 | Capacity: 15
Course: CS899 | Actual Enrollment: 17 | Capacity: 405
Course: CS350 | Actual Enrollment: 110 | Capacity: 291
Course: CS471 | Actual Enrollment: 59 | Capacity: 160
Course: CS300T | Actual Enrollment: 39 | Capacity: 242
Course: CS469 | Actual Enrollment: 0 | Capacity: 70
Course: CS620 | Actual Enrollment: 25 | Capacity: 123
Course: CS467 | Actual Enrollment: 8 | Capacity: 25
Course: CS500 | Actual Enrollment: 7 | Capacity: 130
Course: CS464 | Actual Enrollment: 85 | Capacity: 260
