Course Projections for Current Semester:
Snapshot Date: 2024-08-31
Course: CS251 | Enrollment: 321 | Capacity: 734 | Projected for 25%: 318
Course: CS251 | Enrollment: 321 | Capacity: 734 | Projected for 50%: 248
Course: CS251 | Enrollment: 321 | Capacity: 734 | Projected for 75%: 318
Course: CS251 | Enrollment: 321 | Capacity: 734 | Projected for 100%: 318
Course: CS252 | Enrollment: 164 | Capacity: 648 | Projected for 25%: 163
Course: CS252 | Enrollment: 164 | Capacity: 648 | Projected for 50%: 95
Course: CS252 | Enrollment: 164 | Capacity: 648 | Projected for 75%: 163
Course: CS252 | Enrollment: 164 | Capacity: 648 | Projected for 100%: 163
Course: CS491 | Enrollment: 0 | Capacity: 5 | Projected for 25%: 0
Course: CS491 | Enrollment: 0 | Capacity: 5 | Projected for 50%: 0
Course: CS491 | Enrollment: 0 | Capacity: 5 | Projected for 75%: 0
Course: CS491 | Enrollment: 0 | Capacity: 5 | Projected for 100%: 0
Course: CS492 | Enrollment: 0 | Capacity: 5 | Projected for 25%: 0
Course: CS492 | Enrollment: 0 | Capacity: 5 | Projected for 50%: 0
Course: CS492 | Enrollment: 0 | Capacity: 5 | Projected for 75%: 0
Course: CS492 | Enrollment: 0 | Capacity: 5 | Projected for 100%: 0
Course: CS411W | Enrollment: 152 | Capacity: 704 | Projected for 25%: 152
Course: CS411W | Enrollment: 152 | Capacity: 704 | Projected for 50%: 126
Course: CS411W | Enrollment: 152 | Capacity: 704 | Projected for 75%: 152
Course: CS411W | Enrollment: 152 | Capacity: 704 | Projected for 100%: 152
Course: CS367 | Enrollment: 3 | Capacity: 40 | Projected for 25%: 3
Course: CS367 | Enrollment: 3 | Capacity: 40 | Projected for 50%: 1
Course: CS367 | Enrollment: 3 | Capacity: 40 | Projected for 75%: 3
Course: CS367 | Enrollment: 3 | Capacity: 40 | Projected for 100%: 3
Course: CS368 | Enrollment: 2 | Capacity: 50 | Projected for 25%: 2
Course: CS368 | Enrollment: 2 | Capacity: 50 | Projected for 50%: 0
Course: CS368 | Enrollment: 2 | Capacity: 50 | Projected for 75%: 2
Course: CS368 | Enrollment: 2 | Capacity: 50 | Projected for 100%: 2
Course: CS522 | Enrollment: 26 | Capacity: 83 | Projected for 25%: 7
Course: CS522 | Enrollment: 26 | Capacity: 83 | Projected for 50%: 8
Course: CS522 | Enrollment: 26 | Capacity: 83 | Projected for 75%: 7
Course: CS522 | Enrollment: 26 | Capacity: 83 | Projected for 100%: 7
Course: CS761 | Enrollment: 20 | Capacity: 49 | Projected for 25%: 15
Course: CS761 | Enrollment: 20 | Capacity: 49 | Projected for 50%: 21
Course: CS761 | Enrollment: 20 | Capacity: 49 | Projected for 75%: 15
Course: CS761 | Enrollment: 20 | Capacity: 49 | Projected for 100%: 15
Course: CS129 | Enrollment: 0 | Capacity: 2 | Projected for 25%: 0
Course: CS129 | Enrollment: 0 | Capacity: 2 | Projected for 50%: 0
Course: CS129 | Enrollment: 0 | Capacity: 2 | Projected for 75%: 0
Course: CS129 | Enrollment: 0 | Capacity: 2 | Projected for 100%: 0
Course: CS260 | Enrollment: 50 | Capacity: 150 | Projected for 25%: 50
Course: CS260 | Enrollment: 50 | Capacity: 150 | Projected for 50%: 38
Course: CS260 | Enrollment: 50 | Capacity: 150 | Projected for 75%: 50
Course: CS260 | Enrollment: 50 | Capacity: 150 | Projected for 100%: 50
Course: CS381 | Enrollment: 89 | Capacity: 153 | Projected for 25%: 89
Course: CS381 | Enrollment: 89 | Capacity: 153 | Projected for 50%: 79
Course: CS381 | Enrollment: 89 | Capacity: 153 | Projected for 75%: 89
Course: CS381 | Enrollment: 89 | Capacity: 153 | Projected for 100%: 89
Course: CS261 | Enrollment: 44 | Capacity: 130 | Projected for 25%: 44
Course: CS261 | Enrollment: 44 | Capacity: 130 | Projected for 50%: 28
Course: CS261 | Enrollment: 44 | Capacity: 130 | Projected for 75%: 44
Course: CS261 | Enrollment: 44 | Capacity: 130 | Projected for 100%: 44
Course: CS776 | Enrollment: 14 | Capacity: 78 | Projected for 25%: 5
Course: CS776 | Enrollment: 14 | Capacity: 78 | Projected for 50%: 4
Course: CS776 | Enrollment: 14 | Capacity: 78 | Projected for 75%: 5
Course: CS776 | Enrollment: 14 | Capacity: 78 | Projected for 100%: 5
Course: CS898 | Enrollment: 19 | Capacity: 190 | Projected for 25%: 19
Course: CS898 | Enrollment: 19 | Capacity: 190 | Projected for 50%: 11
Course: CS898 | Enrollment: 19 | Capacity: 190 | Projected for 75%: 19
Course: CS898 | Enrollment: 19 | Capacity: 190 | Projected for 100%: 19
Course: CS532 | Enrollment: 21 | Capacity: 78 | Projected for 25%: 10
Course: CS532 | Enrollment: 21 | Capacity: 78 | Projected for 50%: 10
Course: CS532 | Enrollment: 21 | Capacity: 78 | Projected for 75%: 10
Course: CS532 | Enrollment: 21 | Capacity: 78 | Projected for 100%: 10
Course: CS895 | Enrollment: 16 | Capacity: 95 | Projected for 25%: 12
Course: CS895 | Enrollment: 16 | Capacity: 95 | Projected for 50%: 10
Course: CS895 | Enrollment: 16 | Capacity: 95 | Projected for 75%: 12
Course: CS895 | Enrollment: 16 | Capacity: 95 | Projected for 100%: 12
Course: CS533 | Enrollment: 4 | Capacity: 78 | Projected for 25%: 4
Course: CS533 | Enrollment: 4 | Capacity: 78 | Projected for 50%: 3
Course: CS533 | Enrollment: 4 | Capacity: 78 | Projected for 75%: 4
Course: CS533 | Enrollment: 4 | Capacity: 78 | Projected for 100%: 4
Course: CS896 | Enrollment: 2 | Capacity: 10 | Projected for 25%: 2
Course: CS896 | Enrollment: 2 | Capacity: 10 | Projected for 50%: 0
Course: CS896 | Enrollment: 2 | Capacity: 10 | Projected for 75%: 2
Course: CS896 | Enrollment: 2 | Capacity: 10 | Projected for 100%: 2
Course: CS497 | Enrollment: 0 | Capacity: 5 | Projected for 25%: 0
Course: CS497 | Enrollment: 0 | Capacity: 5 | Projected for 50%: 0
Course: CS497 | Enrollment: 0 | Capacity: 5 | Projected for 75%: 0
Course: CS497 | Enrollment: 0 | Capacity: 5 | Projected for 100%: 0
Course: CS410 | Enrollment: 162 | Capacity: 414 | Projected for 25%: 162
Course: CS410 | Enrollment: 162 | Capacity: 414 | Projected for 50%: 144
Course: CS410 | Enrollment: 162 | Capacity: 414 | Projected for 75%: 162
Course: CS410 | Enrollment: 162 | Capacity: 414 | Projected for 100%: 162
Course: CS891 | Enrollment: 1 | Capacity: 10 | Projected for 25%: 0
Course: CS891 | Enrollment: 1 | Capacity: 10 | Projected for 50%: 0
Course: CS891 | Enrollment: 1 | Capacity: 10 | Projected for 75%: 0
Course: CS891 | Enrollment: 1 | Capacity: 10 | Projected for 100%: 0
Course: CS417 | Enrollment: 71 | Capacity: 97 | Projected for 25%: 66
Course: CS417 | Enrollment: 71 | Capacity: 97 | Projected for 50%: 61
Course: CS417 | Enrollment: 71 | Capacity: 97 | Projected for 75%: 66
Course: CS417 | Enrollment: 71 | Capacity: 97 | Projected for 100%: 66
Course: CS418 | Enrollment: 15 | Capacity: 40 | Projected for 25%: 9
Course: CS418 | Enrollment: 15 | Capacity: 40 | Projected for 50%: 10
Course: CS418 | Enrollment: 15 | Capacity: 40 | Projected for 75%: 9
Course: CS418 | Enrollment: 15 | Capacity: 40 | Projected for 100%: 9
Course: CS899 | Enrollment: 46 | Capacity: 405 | Projected for 25%: 46
Course: CS899 | Enrollment: 46 | Capacity: 405 | Projected for 50%: 37
Course: CS899 | Enrollment: 46 | Capacity: 405 | Projected for 75%: 46
Course: CS899 | Enrollment: 46 | Capacity: 405 | Projected for 100%: 46
Course: CS350 | Enrollment: 136 | Capacity: 293 | Projected for 25%: 136
Course: CS350 | Enrollment: 136 | Capacity: 293 | Projected for 50%: 136
Course: CS350 | Enrollment: 136 | Capacity: 293 | Projected for 75%: 136
Course: CS350 | Enrollment: 136 | Capacity: 293 | Projected for 100%: 136
Course: CS471 | Enrollment: 83 | Capacity: 167 | Projected for 25%: 74
Course: CS471 | Enrollment: 83 | Capacity: 167 | Projected for 50%: 64
Course: CS471 | Enrollment: 83 | Capacity: 167 | Projected for 75%: 74
Course: CS471 | Enrollment: 83 | Capacity: 167 | Projected for 100%: 74
Course: CS300T | Enrollment: 71 | Capacity: 242 | Projected for 25%: 71
Course: CS300T | Enrollment: 71 | Capacity: 242 | Projected for 50%: 49
Course: CS300T | Enrollment: 71 | Capacity: 242 | Projected for 75%: 71
Course: CS300T | Enrollment: 71 | Capacity: 242 | Projected for 100%: 71
Course: CS469 | Enrollment: 12 | Capacity: 70 | Projected for 25%: 3
Course: CS469 | Enrollment: 12 | Capacity: 70 | Projected for 50%: 0
Course: CS469 | Enrollment: 12 | Capacity: 70 | Projected for 75%: 3
Course: CS469 | Enrollment: 12 | Capacity: 70 | Projected for 100%: 3
Course: CS620 | Enrollment: 53 | Capacity: 125 | Projected for 25%: 53
Course: CS620 | Enrollment: 53 | Capacity: 125 | Projected for 50%: 33
Course: CS620 | Enrollment: 53 | Capacity: 125 | Projected for 75%: 53
Course: CS620 | Enrollment: 53 | Capacity: 125 | Projected for 100%: 53
Course: CS467 | Enrollment: 16 | Capacity: 25 | Projected for 25%: 8
Course: CS467 | Enrollment: 16 | Capacity: 25 | Projected for 50%: 11
Course: CS467 | Enrollment: 16 | Capacity: 25 | Projected for 75%: 8
Course: CS467 | Enrollment: 16 | Capacity: 25 | Projected for 100%: 8
Course: CS500 | Enrollment: 14 | Capacity: 130 | Projected for 25%: 14
Course: CS500 | Enrollment: 14 | Capacity: 130 | Projected for 50%: 10
Course: CS500 | Enrollment: 14 | Capacity: 130 | Projected for 75%: 14
Course: CS500 | Enrollment: 14 | Capacity: 130 | Projected for 100%: 14
Course: CS464 | Enrollment: 144 | Capacity: 320 | Projected for 25%: 119
Course: CS464 | Enrollment: 144 | Capacity: 320 | Projected for 50%: 86
Course: CS464 | Enrollment: 144 | Capacity: 320 | Projected for 75%: 119
Course: CS464 | Enrollment: 144 | Capacity: 320 | Projected for 100%: 119
Course: CS465 | Enrollment: 40 | Capacity: 84 | Projected for 25%: 24
Course: CS465 | Enrollment: 40 | Capacity: 84 | Projected for 50%: 15
Course: CS465 | Enrollment: 40 | Capacity: 84 | Projected for 75%: 24
Course: CS465 | Enrollment: 40 | Capacity: 84 | Projected for 100%: 24
Course: CS861 | Enrollment: 20 | Capacity: 48 | Projected for 25%: 5
Course: CS861 | Enrollment: 20 | Capacity: 48 | Projected for 50%: 9
Course: CS861 | Enrollment: 20 | Capacity: 48 | Projected for 75%: 5
Course: CS861 | Enrollment: 20 | Capacity: 48 | Projected for 100%: 5
Course: CS462 | Enrollment: 283 | Capacity: 415 | Projected for 25%: 268
Course: CS462 | Enrollment: 283 | Capacity: 415 | Projected for 50%: 184
Course: CS462 | Enrollment: 283 | Capacity: 415 | Projected for 75%: 268
Course: CS462 | Enrollment: 283 | Capacity: 415 | Projected for 100%: 268
Course: CS463 | Enrollment: 95 | Capacity: 130 | Projected for 25%: 91
Course: CS463 | Enrollment: 95 | Capacity: 130 | Projected for 50%: 72
Course: CS463 | Enrollment: 95 | Capacity: 130 | Projected for 75%: 91
Course: CS463 | Enrollment: 95 | Capacity: 130 | Projected for 100%: 91
Course: CS624 | Enrollment: 48 | Capacity: 89 | Projected for 25%: 48
Course: CS624 | Enrollment: 48 | Capacity: 89 | Projected for 50%: 29
Course: CS624 | Enrollment: 48 | Capacity: 89 | Projected for 75%: 48
Course: CS624 | Enrollment: 48 | Capacity: 89 | Projected for 100%: 48
Course: CS229 | Enrollment: 1 | Capacity: 3 | Projected for 25%: 1
Course: CS229 | Enrollment: 1 | Capacity: 3 | Projected for 50%: 0
Course: CS229 | Enrollment: 1 | Capacity: 3 | Projected for 75%: 1
Course: CS229 | Enrollment: 1 | Capacity: 3 | Projected for 100%: 1
Course: CS625 | Enrollment: 24 | Capacity: 87 | Projected for 25%: 24
Course: CS625 | Enrollment: 24 | Capacity: 87 | Projected for 50%: 25
Course: CS625 | Enrollment: 24 | Capacity: 87 | Projected for 75%: 24
Course: CS625 | Enrollment: 24 | Capacity: 87 | Projected for 100%: 24
Course: CS361 | Enrollment: 84 | Capacity: 236 | Projected for 25%: 83
Course: CS361 | Enrollment: 84 | Capacity: 236 | Projected for 50%: 71
Course: CS361 | Enrollment: 84 | Capacity: 236 | Projected for 75%: 83
Course: CS361 | Enrollment: 84 | Capacity: 236 | Projected for 100%: 83
Course: CS480 | Enrollment: 27 | Capacity: 65 | Projected for 25%: 13
Course: CS480 | Enrollment: 27 | Capacity: 65 | Projected for 50%: 14
Course: CS480 | Enrollment: 27 | Capacity: 65 | Projected for 75%: 13
Course: CS480 | Enrollment: 27 | Capacity: 65 | Projected for 100%: 13
Course: CS468W | Enrollment: 0 | Capacity: 20 | Projected for 25%: 0
Course: CS468W | Enrollment: 0 | Capacity: 20 | Projected for 50%: 0
Course: CS468W | Enrollment: 0 | Capacity: 20 | Projected for 75%: 0
Course: CS468W | Enrollment: 0 | Capacity: 20 | Projected for 100%: 0
Course: CS876 | Enrollment: 14 | Capacity: 78 | Projected for 25%: 9
Course: CS876 | Enrollment: 14 | Capacity: 78 | Projected for 50%: 7
Course: CS876 | Enrollment: 14 | Capacity: 78 | Projected for 75%: 9
Course: CS876 | Enrollment: 14 | Capacity: 78 | Projected for 100%: 9
Course: CS115 | Enrollment: 57 | Capacity: 117 | Projected for 25%: 57
Course: CS115 | Enrollment: 57 | Capacity: 117 | Projected for 50%: 14
Course: CS115 | Enrollment: 57 | Capacity: 117 | Projected for 75%: 57
Course: CS115 | Enrollment: 57 | Capacity: 117 | Projected for 100%: 57
Course: CS355 | Enrollment: 89 | Capacity: 143 | Projected for 25%: 89
Course: CS355 | Enrollment: 89 | Capacity: 143 | Projected for 50%: 79
Course: CS355 | Enrollment: 89 | Capacity: 143 | Projected for 75%: 89
Course: CS355 | Enrollment: 89 | Capacity: 143 | Projected for 100%: 89
Course: CS595 | Enrollment: 0 | Capacity: 30 | Projected for 25%: 0
Course: CS595 | Enrollment: 0 | Capacity: 30 | Projected for 50%: 0
Course: CS595 | Enrollment: 0 | Capacity: 30 | Projected for 75%: 0
Course: CS595 | Enrollment: 0 | Capacity: 30 | Projected for 100%: 0
Course: CS121G | Enrollment: 267 | Capacity: 599 | Projected for 25%: 267
Course: CS121G | Enrollment: 267 | Capacity: 599 | Projected for 50%: 135
Course: CS121G | Enrollment: 267 | Capacity: 599 | Projected for 75%: 267
Course: CS121G | Enrollment: 267 | Capacity: 599 | Projected for 100%: 267
Course: CS518 | Enrollment: 15 | Capacity: 40 | Projected for 25%: 6
Course: CS518 | Enrollment: 15 | Capacity: 40 | Projected for 50%: 6
